,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,pub_year,century,is_big_book
1628,The Everyman Anthology of Poetry for Children,Gillian Avery/Everyman's Library/Thomas Benwick,4.14,eng,379,22,4,9/27/1994,Everyman's Library,1994,20th,small
1629,Holiday Romance and Other Writings for Children,Charles Dickens,3.32,eng,368,8,3,5/1/1995,Everyman Paperback Classics,1995,20th,small
1630,Ideas Have Consequences,Richard M. Weaver,4.16,eng,198,970,105,9/28/1984,University Of Chicago Press,1984,20th,small
1631,The Ethics of Rhetoric,Richard M. Weaver,4.14,eng,240,65,9,11/3/1995,Routledge,1995,20th,small
1632,Manliness,Harvey Mansfield,3.39,eng,304,177,31,3/11/2006,Yale University Press,2006,21th,small
1633,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng,838,2415,397,12/1/2001,Penguin Books,2001,21th,big
1634,The Brothers Karamazov,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,4.32,eng,796,443,55,1/16/1992,Vintage Classics,1992,20th,big
1635,Selected Stories of Anton Chekhov,Anton Chekhov/Richard Pevear/Larissa Volokhonsky,4.35,eng,467,27027,466,10/31/2000,Modern Library,2000,21th,big
1636,Mother Maria Skobtsova: Essential Writings,Maria Skobtsova/Richard Pevear,4.31,eng,192,62,9,10/1/2002,Orbis Books,2002,21th,small
1637,What is Art?,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,3.72,eng,230,127,24,8/31/1995,Penguin Classics,1995,20th,small
1638,The Complete Short Novels,Anton Chekhov/Richard Pevear/Larissa Volokhonsky,4.47,eng,548,10580,118,8/18/2005,Vintage Classics,2005,21th,big
1639,The Double and The Gambler,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,4.16,eng,344,2486,99,1/16/2007,Vintage Classics,2007,21th,small
1640,The Adolescent,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,3.94,eng,647,3568,159,12/7/2004,Vintage,2004,21th,big
1641,If I Die in a Combat Zone,Tim O'Brien,3.95,eng,208,11,0,4/7/2003,Flamingo,2003,21th,small
1642,If I Die In A Combat Zone,Tim O'Brien,3.95,eng,208,53,4,4/24/1995,Flamingo,1995,20th,small
1643,Rainbow Six (John Clark  #2; Jack Ryan Universe  #10),Tom Clancy/David Dukes,4.09,eng,912,40815,908,9/1/1999,Berkley Books,1999,20th,big
1644,Child of War  Woman of Peace,Le Ly Hayslip/James Hayslip/Jenny Wurts,3.8,eng,388,186,22,12/1/1993,Anchor,1993,20th,small
1645,When Heaven and Earth Changed Places: A Vietnamese Woman's Journey from War to Peace,Le Ly Hayslip/Jay Wurts,4.12,eng,400,2593,252,11/1/1993,Plume,1993,20th,small
1646,Philip Vera Cruz: A Personal History of Filipino Immigrants and the Farmworkers Movement,Craig Scharlin/Lilia V. Villanueva,4.22,eng,208,86,4,6/1/2000,University of Washington Press,2000,21th,small
1647,Coming of Age in Mississippi: The Classic Autobiography of a Young Black Girl in the Rural South,Anne Moody,4.13,eng,424,7072,453,2/3/2004,Delta,2004,21th,big
1648,I'm Too Young To Be Seventy,Judith Viorst/Laura Gibson,3.93,eng,64,237,45,10/12/2005,Simon  Schuster,2005,21th,small
1649,Seventy-Seven Clocks (Bryant & May #3),Christopher Fowler,3.89,eng,496,2095,188,11/29/2005,Bantam Books,2005,21th,big
1650,The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,4.08,eng,528,18793,721,8/26/2003,Penguin Books,2003,21th,big
1651,The Language Instinct: How the Mind Creates Language,Steven Pinker,4.03,eng,448,15441,693,11/7/2000,Harper Perennial Modern Classics,2000,21th,big
1652,Learnability and Cognition: The Acquisition of Argument Structure,Steven Pinker/Jacques A. Mehler,3.75,eng,432,50,1,8/28/1991,Bradford Book,1991,20th,big
1653,Fight Club,Chuck Palahniuk,4.19,eng,218,388782,9654,10/17/2005,W.W. Norton & Company (NYC),2005,21th,small
1654,BSD Hacks,Lavigne,3.8,eng,450,42,5,5/31/2004,O'Reilly Media,2004,21th,big
1655,The Design and Implementation of the 4.3BSD UNIX Operating System,Samuel J. Leffler/Marshall Kirk McKusick/Michael J. Karels,4.26,eng,471,27,2,6/1/1989,Addison Wesley Publishing Company,1989,20th,big
1656,Choke,Stuart Woods,3.84,eng,352,2288,96,9/12/1996,HarperTorch,1996,20th,small
1657,Choke Point: A Brinker Mystery (Brinker P.I.),James C. Mitchell,3.22,eng,272,3,0,10/5/2004,St. Martin's Minotaur,2004,21th,small
1658,The Aleph and Other Stories,Jorge Luis Borges/Andrew Hurley,4.38,eng,210,20259,460,7/27/2004,Penguin Classics,2004,21th,small
1659,El Aleph,Jorge Luis Borges,4.38,spa,253,146,9,9/1/2007,Planeta Publishing,2007,21th,small
1660,Vanity Fair,William Makepeace Thackeray/John Carey,3.79,eng,867,102877,2286,1/30/2003,Penguin Books,2003,21th,big
1661,Vanity Fair,William Makepeace Thackeray/Nicholas Dames,3.79,eng,696,553,97,11/1/2003,Barnes  Noble Classics,2003,21th,big
1662,Vanity Fair,William Makepeace Thackeray,3.79,eng,672,296,34,10/3/1998,Penguin Books,1998,20th,big
1663,V for Vendetta,Alan Moore/David   Lloyd,4.25,eng,296,234954,4058,11/1/2005,Vertigo,2005,21th,small
1664,V.,Thomas Pynchon/Carlos Martín Ramírez,3.96,fre,640,15174,561,1/2/2001,Contemporary French Fiction,2001,21th,big
1665,Girl in the Shadows (Shadows  #2),V.C. Andrews,3.81,eng,400,5,1,3/7/2006,Pocket Books,2006,21th,small
1666,V for Vendetta,Steve Moore/Lilly Wachowski/Lana Wachowski/Alan Moore,4.15,eng,358,2980,118,3/1/2006,Pocket Star Books,2006,21th,small
1667,Heaven (Casteel  #1),V.C. Andrews,4.03,eng,464,13,0,4/1/1997,Pocket Books,1997,20th,big
1668,Slow Learner: Early Stories,Thomas Pynchon,3.5,eng,208,3169,161,2/16/1995,Vintage Classics,1995,20th,small
1669,A Gravity's Rainbow Companion: Sources and Contexts for Pynchon's Novel,Steven Weisenburger,4.01,eng,424,152,26,11/1/2006,University of Georgia Press,2006,21th,big
1670,Casino Royale,Ian Fleming,3.73,eng,181,371,43,6/3/2004,Penguin Books  Limited (UK),2004,21th,small
1671,Casino Royale,Anthony Hern/Ian Fleming/Henry Gammidge/John McLusky,3.7,eng,96,110,10,6/1/2005,Titan Books,2005,21th,small
1672,Bel Canto,Ann Patchett,3.93,eng,352,218195,13012,8/2/2005,Harper Perennial,2005,21th,small
1673,Guerilla Film Makers Movie Blueprint,Chris          Jones/Jonathan Newman/Cara Williams,4.2,eng,608,50,1,6/20/2003,Bloomsbury Academic,2003,21th,big
1674,Mini-Manual of the Urban Guerrilla,Carlos Marighella,3.31,eng,66,127,13,9/9/2002,Abraham Guillen Press,2002,21th,small
1675,The Career Programmer: Guerilla Tactics for an Imperfect World (Expert's Voice),Christopher   Duncan,3.13,eng,264,37,7,2/1/2006,Apress,2006,21th,small
1676,A Bend in the River,V.S. Naipaul,3.77,eng,326,13147,690,5/10/2002,Picador USA,2002,21th,small
1677,The Middle Passage,V.S. Naipaul,3.61,eng,256,461,35,1/8/2002,Vintage,2002,21th,small
1678,Magic Seeds,V.S. Naipaul,3.13,eng,280,715,104,11/8/2005,Vintage,2005,21th,small
1679,Half a Life,V.S. Naipaul,3.25,eng,224,3078,301,4/23/2009,Vintage International,2009,21th,small
1680,North of South: An African Journey,Shiva Naipaul,3.89,eng,352,279,33,9/26/1996,Penguin Classics,1996,20th,small
1681,V.S. Naipaul,Bruce Alvin King,2.0,eng,240,0,0,10/10/2003,Palgrave Macmillan,2003,21th,small
1682,Regeneration Through Violence: The Mythology of the American Frontier  1600–1860,Richard Slotkin,4.3,eng,670,163,16,4/15/2000,University of Oklahoma Press,2000,21th,big
1683,Regeneration (Species Imperative  #3),Julie E. Czerneda,4.13,eng,543,54,2,5/2/2006,DAW Hardcover,2006,21th,big
1684,The Regeneration Trilogy (Regeneration  #1-3),Pat Barker,4.38,eng,592,1588,95,1/1/1996,Viking Books,1996,20th,big
1685,The Sparrow (The Sparrow  #1),Mary Doria Russell,4.16,eng,506,664,103,11/1/1997,Black Swan,1997,20th,big
1686,The Age of Bronze (Pirates of the Caribbean: Jack Sparrow  #5),Rob Kidd/Walt Disney Company,4.05,eng,144,548,14,12/1/2006,Disney Press,2006,21th,small
1687,The Sword of Cortés (Pirates of the Caribbean: Jack Sparrow  #4),Rob Kidd/Jean-Paul Orpinas/Walt Disney Company,3.98,eng,122,644,14,10/1/2006,Disney Press,2006,21th,small
1688,The Pirate Chase (Pirates of the Caribbean: Jack Sparrow  #3),Rob Kidd/Walt Disney Company,3.89,eng,119,730,20,8/1/2006,Disney Press,2006,21th,small
1689,The Siren Song (Pirates of the Caribbean: Jack Sparrow  #2),Rob Kidd/Jean-Paul Orpinas,3.86,eng,123,859,27,6/1/2006,Disney Press,2006,21th,small
1690,The Coming Storm (Pirates of the Caribbean: Jack Sparrow  #1),Rob Kidd/Jean-Paul Orpinas,3.83,eng,135,1414,82,6/1/2006,Disney Press,2006,21th,small
1691,The Woman in White,Wilkie Collins/Matthew Sweet,4.0,eng,672,108060,5168,2/27/2003,Penguin Classics,2003,21th,big
1692,The Woman in White,Wilkie Collins,4.0,eng,504,136,28,4/15/2005,Dover Publications,2005,21th,big
1693,The Woman in White,Wilkie Collins/Maria K. Bachman/Don Richard Cox,4.0,eng,696,122,15,4/20/2006,Broadview Press Inc,2006,21th,big
1694,The Woman in White,Wilkie Collins/Camille Cauti,4.0,eng,635,624,136,4/25/2005,Barnes  Noble Classics,2005,21th,big
1695,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,eng,1200,682,43,9/16/2002,Not Avail,2002,21th,big
1696,The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States,National Commission on Terrorist Attacks Upon The United States,3.6,eng,624,146,16,10/17/2004,W. W. Norton  Company,2004,21th,big
1697,The Hobbit  or There and Back Again,J.R.R. Tolkien,4.27,eng,366,2530894,32871,8/15/2002,Houghton Mifflin,2002,21th,small
1698,The Annotated Hobbit,J.R.R. Tolkien/Douglas A. Anderson,4.27,eng,411,121,16,4/7/2003,HarperCollins,2003,21th,big
1699,Poems From The Hobbit,J.R.R. Tolkien,4.3,eng,57,169,5,12/13/1999,Houghton Mifflin Harcourt,1999,20th,small
1700,The Hobbit: Or There and Back Again,J.R.R. Tolkien,4.27,eng,481,276,43,9/1/2003,Large Print Press,2003,21th,big
1701,The Hobbit,J.R.R. Tolkien,4.27,eng,277,3213,329,9/17/2007,HarperCollins,2007,21th,small
1702,Ruthless Rhymes for Heartless Homes and More Ruthless Rhymes,Harry Graham/Frank J. Moore/D. Streamer,3.86,eng,64,44,10,6/19/2013,Dover Publications,2013,21th,small
1703,The Essential Neruda: Selected Poems,Pablo Neruda/Mark Eisner/Lawrence Ferlinghetti/Robert Hass/Stephen Mitchell/Alastair Reid/Forrest Gander/Jack Hirschman/Stephen Kessler/John Felstiner,4.46,eng,200,5149,210,4/1/2004,City Lights Publishers,2004,21th,small
1704,Twenty Love Poems and a Song of Despair,Pablo Neruda/W.S. Merwin/Cristina García,4.3,eng,70,37942,1105,12/26/2006,Penguin Classics,2006,21th,small
1705,Veinte poemas de amor y una canción desesperada; Cien sonetos de amor,Pablo Neruda,4.3,eng,160,1120,54,1/22/2002,Plaza y Janes,2002,21th,small
1706,Love,Pablo Neruda,4.46,eng,43,1333,68,6/16/1995,Miramax Books,1995,20th,small
